index,w,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y,revenues
180,1,0,2,1,0,0,189,43,3,19863,0,9,0,41.75
181,0,0,3,1,0,0,365,63,3,33908,3,9,1,41.75
182,1,1,3,0,0,0,243,48,5,27875,3,9,0,44.75
183,0,0,3,1,0,0,146,79,2,24542,0,9,1,41.75
184,0,0,2,1,0,0,220,53,4,18794,0,9,1,41.75
185,1,0,2,1,0,0,131,77,2,27573,0,9,1,41.75
186,0,0,2,1,0,0,122,43,1,18630,0,9,1,41.75
187,0,0,2,1,0,0,178,49,5,19994,0,9,1,41.75
188,0,0,3,1,1,0,157,44,4,25806,0,9,1,61.7
189,1,0,2,0,0,0,57,29,2,24795,0,9,1,41.75
190,1,0,3,0,0,0,373,76,3,21723,0,9,1,41.75
191,0,1,3,1,0,0,159,41,4,27004,3,1,1,41.75
192,0,0,2,1,0,0,372,69,3,23857,0,9,0,41.75
193,1,0,3,1,0,0,189,45,4,23605,1,9,0,41.75
194,0,1,3,1,1,0,38,26,1,22979,5,9,0,61.7
195,0,1,2,1,0,0,97,52,4,23246,0,9,1,41.75
196,0,1,2,0,0,0,139,52,2,26791,0,9,1,41.75
197,0,0,3,1,0,0,176,53,2,21383,2,9,0,41.75
198,1,1,3,0,0,0,7,42,3,29216,0,9,0,41.75
199,1,0,3,0,0,0,127,55,2,35717,0,9,0,41.75
200,1,0,2,1,0,0,44,40,2,21738,0,9,0,41.75
201,0,1,2,1,0,0,203,62,1,20635,0,7,0,31.55
202,1,0,2,0,1,0,14,31,2,24166,0,9,0,61.7
203,1,0,3,1,1,0,110,46,2,31395,0,9,0,61.7
204,1,0,2,1,0,0,32,28,1,20000,0,9,0,41.75
205,0,0,2,1,0,0,157,59,1,27436,6,7,0,40.55
206,0,0,3,1,0,0,66,35,1,28741,2,9,1,41.75
207,1,1,3,0,0,0,61,44,3,23136,1,9,0,41.75
208,1,1,2,1,0,0,124,45,4,19873,0,9,0,41.75
209,0,1,3,0,1,0,301,70,2,21409,0,9,0,61.7
210,1,0,3,0,0,0,52,30,4,23748,3,9,0,41.75
211,0,0,2,1,0,0,321,60,2,27927,2,9,1,44.75
212,0,1,3,1,0,0,239,48,4,20370,5,9,1,41.75
213,1,1,3,1,1,0,13,27,3,26042,0,9,1,67.7
214,0,1,3,1,1,0,111,46,4,25990,15,0,1,115.7
215,1,0,2,1,0,0,24,31,2,24256,0,9,1,41.75
216,1,0,2,1,0,0,33,30,2,21895,0,9,0,44.75
217,0,0,3,1,0,0,292,50,4,24542,0,9,1,41.75
218,0,0,2,1,0,0,27,37,4,25043,2,9,1,44.75
219,1,1,3,0,0,0,279,51,4,24830,21,9,0,74.75
220,1,1,2,1,1,0,270,55,4,25643,0,9,0,61.7
221,0,0,2,1,0,0,100,39,5,26832,0,9,0,41.75
222,0,0,2,1,0,0,77,52,2,17731,0,9,1,41.75
223,0,1,3,1,0,0,100,35,3,19630,0,10,1,57.05
224,1,1,3,1,0,0,333,57,4,21749,0,9,1,41.75
225,1,0,3,1,0,0,235,51,3,23944,3,9,0,50.75
226,0,0,3,1,1,0,36,44,4,26186,2,9,0,67.7
227,0,1,2,1,0,0,13,28,1,30138,12,9,0,41.75
228,0,1,2,0,0,0,203,58,4,18143,1,9,0,41.75
229,0,0,3,0,0,0,171,58,2,41339,0,9,1,41.75
230,0,1,3,1,1,0,173,42,3,29399,2,9,1,61.7
231,1,1,3,1,0,0,275,56,3,34118,3,9,0,41.75
232,0,0,3,1,0,0,300,48,3,33283,0,9,1,41.75
233,0,1,2,1,1,0,114,53,2,21682,17,9,0,67.7
234,1,0,3,0,0,0,72,45,4,23917,0,9,1,41.75
235,1,0,3,0,0,0,169,49,3,21489,1,9,1,41.75
236,1,1,2,1,0,0,344,65,2,21140,1,9,0,41.75
237,1,0,2,1,0,0,79,61,2,18454,1,9,0,41.75
238,0,0,3,1,0,0,327,58,3,27358,0,9,1,53.75
239,0,0,3,1,1,0,33,41,2,39571,0,9,0,61.7
240,0,0,2,1,0,0,56,45,5,29347,0,9,1,41.75
241,1,0,3,1,0,0,290,54,2,19986,0,10,0,57.05
242,0,0,2,1,0,0,90,45,4,20459,0,9,1,41.75
243,0,0,3,0,0,0,119,35,3,21834,0,9,1,41.75
244,1,1,2,1,0,0,163,49,3,33020,0,7,1,31.55
245,1,1,2,1,0,0,27,27,2,29841,0,9,0,41.75
246,1,0,3,1,0,0,220,46,4,26832,2,9,0,41.75
247,1,0,2,0,0,0,395,61,2,22388,0,9,1,41.75
248,0,1,2,0,0,0,329,51,3,26005,0,9,0,41.75
249,0,0,2,1,1,0,162,49,4,41577,0,10,1,86
250,1,1,2,0,0,0,217,45,1,24383,0,9,1,41.75
251,0,0,2,1,0,0,281,57,3,25360,0,9,1,41.75
252,0,0,3,1,0,0,242,56,3,26000,4,7,0,31.55
253,0,0,2,0,0,0,110,51,2,15155,0,7,0,31.55
254,1,0,2,0,0,0,10,47,4,21480,0,0,0,41.75
255,0,0,2,1,1,0,114,48,3,26610,0,9,0,61.7
256,1,0,3,0,0,0,52,48,3,25297,0,9,0,41.75
257,1,0,3,1,0,0,156,56,4,25075,3,9,1,44.75
258,0,0,2,0,0,0,76,43,2,19021,0,9,1,41.75
259,0,0,3,1,0,0,127,38,3,28382,3,9,1,41.75
260,1,0,3,1,0,0,247,48,4,20836,4,9,1,44.75
261,0,1,2,1,0,0,43,41,5,26807,1,9,0,41.75
262,1,0,3,1,0,0,375,59,2,28812,0,9,1,41.75
263,1,0,2,0,0,0,204,35,2,30559,3,9,0,44.75
264,1,0,3,1,0,0,237,53,3,32644,2,9,0,41.75
265,1,0,3,1,0,0,87,61,3,21613,0,9,1,41.75
266,1,0,2,0,0,0,38,27,5,13128,0,9,0,41.75
267,1,0,2,1,0,0,140,45,5,41029,2,10,0,63.05
268,1,0,2,1,0,0,223,53,4,30684,0,9,0,41.75
269,1,0,2,1,1,0,115,38,4,26832,0,9,0,61.7
270,1,0,3,1,0,0,291,54,2,19816,0,9,0,41.75
271,1,0,3,1,0,0,248,51,4,24334,0,9,1,41.75
272,0,0,3,1,0,0,129,39,4,16978,18,9,0,41.75
273,1,1,2,1,0,0,35,31,4,15736,1,9,0,41.75
274,0,0,2,0,0,0,117,40,4,23293,0,9,0,41.75
275,1,0,2,1,0,0,118,37,3,17620,0,9,0,41.75
276,0,0,2,0,0,0,163,39,2,34271,3,9,0,41.75
277,1,1,2,0,0,0,201,40,4,28063,0,9,1,41.75
278,0,0,3,1,0,0,41,44,5,25474,0,9,1,47.75
279,0,0,2,0,0,0,46,38,4,19654,0,10,0,57.05
280,0,0,2,1,0,0,70,39,9,17596,0,9,0,41.75
281,1,0,3,1,0,0,180,46,4,23739,0,9,1,41.75
282,1,0,3,1,1,0,325,48,3,24570,0,9,0,41.75
283,0,1,3,1,0,0,72,48,2,23322,0,9,0,41.75
284,1,0,2,1,0,0,260,49,5,22090,0,9,0,41.75
285,1,0,3,1,0,0,351,57,4,31173,0,9,1,44.75
286,1,0,3,1,1,0,91,73,2,23379,0,9,0,94.7
287,0,0,3,0,0,0,185,51,2,31035,0,7,1,31.55
288,1,0,2,0,0,0,20,44,2,14067,0,9,0,41.75
289,1,1,3,0,0,0,9,25,2,23272,2,4,0,62.15
290,0,0,3,0,1,0,104,44,3,31660,5,9,1,67.7
291,0,0,2,1,0,0,10,30,2,17972,1,9,0,41.75
292,1,0,3,1,0,0,69,37,1,19456,3,9,0,41.75
293,0,1,2,0,1,0,18,47,4,16581,0,9,0,61.7
294,1,0,2,1,0,0,187,41,5,17419,0,9,0,41.75
295,0,0,3,1,0,0,78,54,2,31115,0,9,1,41.75
296,1,0,3,1,0,0,321,53,2,29953,7,9,0,41.75
297,0,0,2,1,0,0,139,39,4,17906,3,9,0,41.75
298,1,1,2,1,0,0,8,22,1,23345,4,9,0,44.75
299,0,0,2,0,0,0,195,58,3,15740,0,9,1,41.75
300,0,0,3,1,0,0,107,32,3,19056,2,9,1,41.75
301,0,0,2,1,0,0,216,40,4,20254,0,9,1,41.75
302,0,0,3,1,0,0,106,50,3,25265,19,9,0,50.75
303,0,0,2,1,0,0,196,45,5,34532,12,9,0,41.75
304,0,1,3,0,0,0,43,70,1,23730,0,7,1,31.55
305,0,1,2,1,0,0,364,63,4,29392,22,9,0,44.75
306,1,1,2,0,1,0,46,56,2,23622,0,9,0,61.7
307,1,0,3,0,1,0,38,49,3,27368,0,9,0,61.7
308,0,0,3,1,1,0,107,33,2,19056,2,9,0,67.7
309,0,0,2,0,0,0,106,48,7,29254,0,9,0,41.75
310,0,0,3,0,0,0,156,50,4,24828,0,9,1,41.75
311,1,0,2,1,0,0,144,61,2,21370,0,9,1,41.75
312,1,0,3,1,0,0,27,33,3,27311,9,9,0,62.75
313,1,1,3,1,0,0,27,74,2,26027,0,7,1,31.55
314,0,0,3,1,0,0,158,40,3,30398,0,9,0,41.75
315,0,0,3,1,1,0,101,36,2,20845,0,9,0,41.75
316,1,0,3,1,1,0,256,51,3,27983,0,9,0,64.7
317,1,1,3,1,0,0,14,35,1,23114,0,9,0,41.75
318,0,0,3,1,1,0,260,57,1,16374,10,9,0,70.7
319,0,0,2,1,0,0,95,54,4,27363,3,9,0,44.75
320,0,0,2,1,1,0,39,28,2,24433,0,9,0,61.7
321,1,0,3,1,0,0,204,48,3,24481,0,9,1,41.75
322,0,0,2,1,0,0,121,52,3,20374,0,9,1,41.75
323,0,0,2,1,0,0,339,47,4,20929,0,9,0,41.75
324,0,0,2,1,0,0,126,46,4,24932,0,9,1,41.75
325,1,0,3,0,0,0,55,42,3,21714,4,9,0,41.75
326,1,0,2,0,0,0,50,56,1,40875,0,7,0,31.55
327,0,1,3,1,1,0,337,59,2,23997,0,9,0,61.7
328,0,0,3,1,1,0,316,68,4,29107,0,9,0,41.75
329,1,0,3,1,0,0,131,40,4,22847,1,9,1,41.75
330,0,1,2,0,0,0,130,42,4,21696,4,9,0,41.75
331,0,0,2,1,0,0,61,34,4,29315,0,9,1,41.75
332,1,0,2,1,0,0,48,43,3,24928,0,9,1,41.75
333,1,1,2,1,0,0,27,29,2,29379,5,9,0,44.75
334,1,0,3,1,0,0,74,33,2,27421,1,9,1,41.75
335,1,0,2,1,0,0,287,54,3,17219,0,9,0,41.75
336,0,1,2,0,0,0,97,36,3,18983,0,9,0,41.75
337,0,0,3,1,1,0,107,34,1,21254,0,7,0,31.55
338,0,0,2,1,0,0,138,39,4,25358,0,9,1,41.75
339,1,0,3,0,0,0,113,34,3,30523,1,9,0,44.75
340,1,0,2,1,0,0,50,37,2,15710,0,9,0,41.75
341,1,0,2,1,0,0,234,50,3,17352,8,9,0,41.75
342,0,0,2,1,0,0,258,53,5,22786,0,9,1,41.75
343,0,1,2,1,0,0,139,42,6,22354,0,9,1,41.75
344,1,0,2,1,1,0,232,48,1,20277,0,9,1,61.7
345,1,0,2,1,0,0,299,59,3,25581,0,9,0,41.75
346,1,1,2,1,0,0,6,47,4,21480,0,9,0,41.75
347,0,0,3,1,0,0,295,64,2,19816,5,9,1,50.75
348,1,0,3,0,0,0,361,61,1,23054,0,1,1,41.75
349,0,0,3,1,0,1,118,55,6,31115,0,9,1,49.7
350,1,1,2,1,0,0,19,30,1,22109,0,9,0,41.75
351,1,1,3,1,0,0,159,46,6,27088,0,9,1,41.75
352,0,0,2,1,0,0,110,87,2,20888,3,10,0,57.05
353,1,0,2,1,0,0,119,42,4,27788,0,9,0,41.75
354,1,1,3,1,1,0,101,33,5,19926,1,9,0,64.7
355,0,0,3,1,0,0,106,33,2,26324,0,9,0,41.75
356,1,0,2,0,0,0,310,53,2,18437,5,9,0,41.75
357,1,0,3,0,0,0,50,42,3,28475,0,9,0,41.75
358,0,1,2,0,0,0,108,37,1,25506,0,9,1,41.75
359,1,1,2,1,0,0,96,47,6,17733,0,9,0,41.75
360,0,1,2,0,0,0,206,45,3,28867,2,9,0,41.75
361,1,0,3,0,0,0,72,45,6,23674,0,9,1,41.75
362,0,1,2,0,0,0,131,51,2,34884,5,9,0,41.75
363,1,0,2,1,0,0,157,52,1,14806,0,9,0,41.75
364,0,0,2,0,0,0,103,37,1,33163,0,9,0,41.75
365,1,0,3,1,0,0,203,47,4,24131,0,9,0,41.75
366,0,0,2,0,0,0,109,59,2,34975,0,7,0,31.55
367,1,1,2,1,0,0,163,40,4,22090,0,9,0,41.75
368,1,1,3,1,1,0,162,69,2,26215,1,9,0,64.7
369,1,1,2,1,0,0,9,58,2,26004,0,9,0,41.75
370,0,1,2,1,0,0,9,24,3,16617,0,7,1,31.55
371,1,1,2,1,0,0,365,69,3,37476,0,9,0,41.75
372,1,0,3,0,0,0,71,35,1,19456,0,9,0,41.75
373,1,0,3,1,0,0,146,36,4,19052,0,7,0,31.55
374,1,1,2,1,0,0,241,52,3,27051,0,9,0,41.75
375,1,0,3,1,0,0,173,42,1,22086,0,9,0,41.75
376,1,1,2,1,0,0,21,45,2,22132,0,9,0,41.75
377,1,1,3,1,0,0,7,49,7,15250,1,9,1,41.75
378,1,0,3,1,1,0,82,69,2,28738,1,9,0,73.7
379,1,0,3,1,1,0,196,43,4,20143,0,10,0,77
380,0,1,2,1,1,0,49,41,2,29927,0,9,0,64.7
381,0,1,2,1,0,0,115,45,3,15510,0,9,1,41.75
382,1,0,3,1,0,0,207,67,2,23412,0,7,0,31.55
383,1,0,2,1,0,0,229,49,4,27969,0,9,0,41.75
384,0,0,3,1,0,0,336,59,2,24745,0,9,0,41.75
385,1,1,3,0,0,0,380,65,2,26070,0,9,0,41.75
386,1,0,2,1,0,0,169,44,4,19142,0,9,0,41.75
387,0,1,3,1,0,0,99,45,1,18318,1,9,0,44.75
388,0,1,3,1,0,0,113,36,4,20669,0,9,1,44.75
389,0,0,3,1,0,0,107,32,1,23202,0,10,0,57.05
390,1,0,3,1,0,0,314,77,2,25038,0,9,0,41.75
391,0,0,3,1,0,0,166,70,3,25089,0,9,1,41.75
392,0,1,3,1,1,0,38,29,2,21758,5,9,0,79.7
393,1,1,2,1,0,0,8,46,2,16364,1,9,0,41.75
394,0,0,2,1,0,0,236,45,4,26054,0,9,0,41.75
395,0,0,2,1,0,0,267,50,4,12053,0,9,1,41.75
396,0,0,3,1,0,0,249,49,4,20303,0,7,1,31.55
397,0,0,2,1,0,0,96,26,5,28099,0,0,1,41.75
398,0,0,2,0,0,0,23,40,2,19825,2,9,1,41.75
399,0,0,3,0,0,0,102,57,1,25907,0,9,0,41.75
400,1,0,2,1,0,0,50,64,7,21946,4,9,0,41.75
401,0,0,3,1,0,0,71,53,3,27812,0,9,1,41.75
402,0,0,2,1,0,0,173,41,5,21918,0,9,1,41.75
403,1,1,3,0,0,0,28,39,1,28200,0,9,0,41.75
404,0,1,3,1,1,0,216,45,5,21930,0,9,0,70.7
405,0,0,3,1,0,0,134,38,2,22141,0,7,1,31.55
406,0,0,2,1,0,0,140,68,2,37638,0,9,0,41.75
407,0,0,2,0,0,0,109,69,2,36120,0,9,0,50.75
408,0,0,3,0,0,0,112,35,2,27348,0,9,1,41.75
409,1,0,2,0,0,0,227,60,2,19085,0,9,0,41.75
410,0,0,3,1,0,0,235,50,4,21255,0,9,1,41.75
411,0,0,3,1,0,0,326,54,4,27348,0,9,1,41.75
412,1,0,3,0,0,0,76,29,4,21354,1,9,1,41.75
413,1,1,2,1,0,0,288,57,2,27448,0,7,1,31.55
414,1,0,3,1,0,0,290,54,2,20040,1,9,0,41.75
415,0,0,3,1,0,0,107,43,3,23666,0,9,0,41.75
416,1,0,3,0,1,0,112,43,3,29183,1,9,0,61.7
417,0,0,2,0,0,0,118,32,5,24689,0,9,0,44.75
418,0,0,2,1,0,0,270,61,4,25355,0,9,1,41.75
419,1,0,3,1,0,0,361,64,2,29060,0,9,1,44.75
420,0,0,3,0,0,0,102,32,2,28042,0,7,0,31.55
421,1,0,2,0,0,0,12,29,2,21092,0,9,0,41.75
